_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
4786,CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,50,,,50,,19,,,,19,SC   ,Small Community,12/12/2017,CASTRO VALLEY,,#N/A,D1   ,Distribution Operator Level 1
4787,CA4110025,NORTH COAST COUNTY WATER DIST,SAN MATEO,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,38292,,,38292,85,,432,,11442,11959,C1   ,Large Water System,5/3/2018,PACIFICA,,#N/A,D4   ,Distribution Operator Level 4
4788,CA4901365,NORTH COAST FISHERIES,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,11/5/2014,SANTA ROSA,,#N/A,D1   ,Distribution Operator Level 1
4789,CA5700788,NORTH DAVIS MEADOWS,YOLO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,314,,,314,,95,,,,95,,#N/A,3/14/2017,DAVIS,TD   ,Treatment or distribution operator of any grade,,#N/A
4790,CA0900591,NORTH ECHO SUMMIT WATER ASSOCIATION,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,84,84,,42,,,,42,N1   ,Transient-Noncommunity Water System,6/21/2017,,,#N/A,NR   ,Not Required
4791,CA3100019,NORTH EDEN VALLEY,PLACER,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,52,,,52,,21,,,,21,SC   ,Small Community,3/2/2016,COLFAX,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4792,CA1510052,NORTH EDWARDS WD,KERN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,600,,,600,1,0,0,,227,228,SC   ,Small Community,10/28/2015,NORTH EDWARDS,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
4793,CA2000612,NORTH FORK UNION SCHOOL,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,350,,350,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,3/18/2009,NORTH FORK,,#N/A,D1   ,Distribution Operator Level 1
4794,CA2902391,NORTH GOLD SENIOR CENTER,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/9/2016,NO SAN JUAN,,#N/A,NR   ,Not Required
4795,CA2310007,NORTH GUALALA WATER COMPANY,MENDOCINO,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,2630,,,2630,,1054,,,,1054,DAVCL,Disadvantaged Large Community Water System,12/5/2017,GUALALA,T2   ,Treatment Operator Level 2,D3   ,Distribution Operator Level 3
4796,CA5400506,NORTH KAWEAH MWC,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,560,,,560,,71,,,,71,SC   ,Small Community,5/3/2016,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
4797,CA1502323,NORTH KERN GOLF COURSE,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,5,18,250,273,1,0,1,,1,3,N1   ,Transient-Noncommunity Water System,2/1/2016,BAKERSFIELD,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4798,CA1503669,NORTH KRANENBURG WS,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,33,,,33,,,,,10,10,SC   ,Small Community,12/22/2015,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
4799,CA1400188,NORTH LAKE CAMPGROUND,INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,30,30,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/23/2014,BISHOP,,#N/A,NR   ,Not Required
4800,CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,INYO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,70,,,70,,33,,,,33,SC   ,Small Community,4/26/2012,LONE PINE,,#N/A,D1   ,Distribution Operator Level 1
4801,CA2110003,NORTH MARIN WATER DISTRICT,MARIN,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,61500,,,61500,389,,910,,18732,20031,C1   ,Large Water System,5/29/2014,NOVATO,T4   ,Treatment Operator Level 4,D5   ,Distribution Operator Level 5
4802,CA2110006,NORTH MARIN WD - PT. REYES,MARIN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1700,,,1700,,,72,,693,765,SC   ,Small Community,4/24/2017,POINT REYES STATION,T1   ,Treatment Operator Level 1,D2   ,Distribution Operator Level 2
4803,CA5000237,NORTH OAKS MUTUAL WATER CO,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,234,,,234,,78,,,,78,SC   ,Small Community,6/30/2017,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
4804,CA3701747,NORTH PEAK MUTUAL WATER COMPANY,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,25,,,25,,92,,,,92,SC   ,Small Community,5/13/2016,JULIAN,,#N/A,D1   ,Distribution Operator Level 1
4805,CA3310082,NORTH PERRIS WATER SYSTEM,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,3350,,,3350,,1389,,,,1389,C1   ,Large Water System,9/12/2017,PERRIS,,#N/A,D2   ,Distribution Operator Level 2
4806,CA3400393,NORTH RIDGE COUNTRY CLUB,SACRAMENTO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,5,,,,5,N1   ,Transient-Noncommunity Water System,6/5/2015,FAIR OAKS,,#N/A,,#N/A
4807,CA3200109,NORTH SHORE CG,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/8/2012,CHESTER,,#N/A,NR   ,Not Required
4808,CA2702256,NORTH SHORE ESTATES  WS,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,60,,,60,,33,,,,33,SC   ,Small Community,9/16/2016,BRADLEY,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
4809,CA3600184,NORTH SHORE MWC,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,25,,,25,,32,,,,32,,#N/A,5/24/2017,FAWNSKIN,,#N/A,,#N/A
4810,CA4900797,NORTH STAR MOBILE HOME PARK,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,76,,,,76,SC   ,Small Community,2/19/2013,SANTA ROSA,,#N/A,D1   ,Distribution Operator Level 1
4811,CA3110023,NORTH TAHOE PUD - CARNELIAN WOODS,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,524,,,524,,270,,,,270,SC   ,Small Community,9/23/2015,TAHOE VISTA,,#N/A,D1   ,Distribution Operator Level 1
4812,CA3110036,NORTH TAHOE PUD - DOLLAR COVE,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,GWP,Groundwater Purchased,800,,,800,,272,,,,272,SC   ,Small Community,6/6/2016,TAHOE VISTA,,#N/A,D1   ,Distribution Operator Level 1
4813,CA3110001,NORTH TAHOE PUD - MAIN,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,5300,,,5300,,3247,,,,3247,C1   ,Large Water System,9/25/2017,"TAHOE VISTA,",T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4814,CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,49,,,,49,SC   ,Small Community,2/1/2018,AGUA DULCE,,#N/A,D1   ,Distribution Operator Level 1
4815,CA3901090,NORTH VALLEY SCHOOL PWS,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,35,,35,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/25/2015,LODI,,#N/A,D1   ,Distribution Operator Level 1
4816,CA5200525,NORTH VALLEY SERVICES,TEHAMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,,30,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/14/2016,RED BLUFF,,#N/A,D1   ,Distribution Operator Level 1
4817,CA2210913,NORTH WAWONA ESTATES (B SYSTEM),MARIPOSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,81,81,,32,,,,32,N1   ,Transient-Noncommunity Water System,11/15/2013,WAWONA,,#N/A,D1   ,Distribution Operator Level 1
4818,CA2210912,NORTH WAWONA PARK MUTUAL (A SYSTEM),MARIPOSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,28,28,,28,,,,28,N1   ,Transient-Noncommunity Water System,11/15/2013,WAWONA,,#N/A,D1   ,Distribution Operator Level 1
4819,CA5800002,NORTH YUBA LITTLE LEAGUE,YUBA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/23/2018,BROWNS VALLEY,,#N/A,NR   ,Not Required
4820,CA5800899,NORTH YUBA RANGER STATION,YUBA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,1,,,,1,,#N/A,7/29/2016,CAMPTONVILLE,,#N/A,D1   ,Distribution Operator Level 1
4821,CA5810006,NORTH YUBA WATER DISTRICT,YUBA,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,3105,,,3105,,784,,,,784,DAVCS,Disadvantaged Small Community Water System,6/16/2017,BROWNSVILLE,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4822,CA4810019,NORTHBAY LOGISTICS CENTER FKA SAVEMART,SOLANO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,220,,220,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,9/25/2017,VACAVILLE,,#N/A,D1   ,Distribution Operator Level 1
4823,CA0800552,NORTHCREST TRAILER CITY,DEL NORTE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,250,,,250,,89,,,,89,SC   ,Small Community,5/9/2018,CRESCENT CITY,,#N/A,D1   ,Distribution Operator Level 1
4824,CA1700728,NORTHERN CALIFORNIA VIPASSANA CENTER,LAKE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,66,66,,,16,,,16,N1   ,Transient-Noncommunity Water System,3/26/2014,KELSEYVILLE,,#N/A,,#N/A
4825,CA3601079,NORTHERN DEEP CREEK WATER,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,14,,,14,,7,,,,7,XS   ,State Small Water System,1/24/2017,APPLE VALLEY,,#N/A,,#N/A
4826,CA3400173,NORTHGATE 880 [SWS],SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,2926,,2926,,85,,,,85,SP   ,NonTransient-NonCommunity Water System,6/9/2015,SACRAMENTO,,#N/A,,#N/A
4827,CA1910097,NORTHROP GRUMMAN CORP.,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,3407,,3407,,,,21,,21,SP   ,NonTransient-NonCommunity Water System,11/9/2016,PALMDALE,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
4828,CA3601168,NORTHSHORE RV RESORT INC,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,140,140,,25,,,,25,N1   ,Transient-Noncommunity Water System,1/9/2017,NEEDLES,,#N/A,,#N/A
4829,CA4000652,"NORTHSHORE S & B, INC",SAN LUIS OBISPO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,50,50,,40,,,,40,N1   ,Transient-Noncommunity Water System,6/19/2014,BRADLEY,T1   ,Treatment Operator Level 1,,#N/A
4830,CA3107322,NORTHSTAR AT TAHOE COMSTOCK WATER SYSTEM,PLACER,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,10/27/2016,TRUCKEE,,#N/A,D1   ,Distribution Operator Level 1
4831,CA3110028,NORTHSTAR C.S.D.,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,300,,,300,,909,,,,909,SC   ,Small Community,4/23/2014,TRUCKEE,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4832,CA3110051,NORTHSTAR CSD - MARTIS VALLEY,PLACER,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1218,,,1218,,863,,,,863,SC   ,Small Community,9/16/2015,TRUCKEE,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
4833,CA3107311,NORTHSTAR SUMMIT DECK & GRILL,PLACER,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,2000,2000,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/27/2016,TRUCKEE,,#N/A,NR   ,Not Required
4834,CA4900695,NORTHWEST PREP,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,325,,325,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,9/21/2011,SANTA ROSA,,#N/A,D1   ,Distribution Operator Level 1
4835,CA1910191,"NORWALK - CITY, WATER DEPT.",LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,12794,,,12794,20,,327,73,4902,5322,C1   ,Large Water System,2/22/2017,NORWALK,T1   ,Treatment Operator Level 1,D4   ,Distribution Operator Level 4
4836,CA2000930,NOTT-HILL INVESTMENT CORP (WATER),MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,100,100,,3,,,,3,N1   ,Transient-Noncommunity Water System,5/27/2010,,,#N/A,NR   ,Not Required
4837,CA1410503,"NPS - DEATH VALLEY, COW CREEK/NEVARES",INYO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,88,,,88,,,4,,52,56,SC   ,Small Community,11/29/2016,DEATH VALLEY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4838,CA1410509,"NPS - DEATH VALLEY, EMIGRANT RA/CG",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,150,150,,,1,,,1,N1   ,Transient-Noncommunity Water System,11/29/2016,DEATH VALLEY,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4839,CA1410505,"NPS - DEATH VALLEY, FURNACE CREEK",INYO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,150,,,150,,,,,150,150,SC   ,Small Community,11/30/2016,DEATH VALLEY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4840,CA1410504,"NPS - DEATH VALLEY, GRAPEVINE RS",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,6,,,,4,10,N1   ,Transient-Noncommunity Water System,11/28/2016,DEATH VALLEY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4841,CA1410504,"NPS - DEATH VALLEY, GRAPEVINE RS",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,6,,,,4,10,SC   ,Small Community,11/28/2016,DEATH VALLEY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4842,CA1410500,"NPS - DEATH VALLEY, MESQUITE SPRINGS",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,35,35,,3,,,,3,N1   ,Transient-Noncommunity Water System,11/28/2016,DEATH VALLEY,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4843,CA1410506,"NPS - DEATH VALLEY, SCOTTY S CASTLE",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,850,850,,,,,,,N1   ,Transient-Noncommunity Water System,11/28/2016,DEATH VALLEY,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4844,CA1410502,"NPS - DEATH VALLEY, STOVEPIPE WELLS",INYO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,25,150,25,200,,,,,10,10,SC   ,Small Community,11/29/2016,DEATH VALLEY,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4845,CA1410507,"NPS - DEATH VALLEY, WILDROSE CMPGD",INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,35,35,,,,,2,2,N1   ,Transient-Noncommunity Water System,11/29/2016,DEATH VALLEY,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4846,CA3600321,NPS - HOLE IN THE WALL CAMPGROUND,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,1,1,200,202,,,5,,1,6,N1   ,Transient-Noncommunity Water System,3/16/2018,ESSEX,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4847,CA3610301,NPS - KELSO DEPOT,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,250,250,1,,1,,,2,N1   ,Transient-Noncommunity Water System,3/15/2018,KELSO,TD   ,Treatment or distribution operator of any grade,,#N/A
4848,CA1410511,NPS - MANZANAR,INYO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GWP,Groundwater Purchased,,20,278,298,,,1,,,1,N1   ,Transient-Noncommunity Water System,10/16/2012,INDEPENDENCE,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4849,CA3600323,NPS - ZZYZX DESERT STUDIES CENTER,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,2,,75,77,,,2,,,2,N1   ,Transient-Noncommunity Water System,3/15/2018,BARSTOW,T1   ,Treatment Operator Level 1,NR   ,Not Required
4850,CA2110350,NPS GGNRA,MARIN,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,SWP,Surface Water Purchased,200,,,200,,208,,,,208,SC   ,Small Community,7/12/2017,SAUSALITO,,#N/A,D1   ,Distribution Operator Level 1
4851,CA2110502,NPS PRNS - BEACHES,MARIN,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,55,,,55,,7,,,,7,SC   ,Small Community,12/19/2012,POINT REYES,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4852,CA2110010,NPS PRNS - FIVE BROOKS,MARIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,200,200,,6,,,,6,N1   ,Transient-Noncommunity Water System,5/29/2001,OLEMA,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4853,CA2110503,NPS PRNS - GLEN AND WILDCAT CAMPGROUNDS,MARIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,1200,1200,,2,,,,2,N1   ,Transient-Noncommunity Water System,5/30/2001,OLEMA,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4854,CA2110501,NPS PRNS - LAGUNA SYSTEM,MARIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,300,300,,9,,,,9,N1   ,Transient-Noncommunity Water System,4/13/2016,POINT REYES,T1   ,Treatment Operator Level 1,NR   ,Not Required
4855,CA2110500,NPS PRNS - LIGHTHOUSE,MARIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,1200,1200,,2,,,,2,N1   ,Transient-Noncommunity Water System,5/29/2001,POINT REYES,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
4856,CA5410513,NPS-ASH MOUNTAIN,TULARE,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GU ,Groundwater UDI Surface Water,30,,,30,,45,,,,45,SC   ,Small Community,6/24/2015,THREE RIVERS,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4857,CA5410515,NPS-ATWELL MILL,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,SW ,Surface Water,,,80,80,,9,,,,9,N1   ,Transient-Noncommunity Water System,8/29/2017,THREE RIVERS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4858,CA5410510,NPS-BUCKEYE FLAT,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,350,350,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/10/2015,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
4859,CA5410517,NPS-COLD SPRINGS,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,240,240,,40,,,,40,N1   ,Transient-Noncommunity Water System,8/29/2017,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
4860,CA2010501,NPS-DEVILS POSTPILE,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,1210,1210,,10,,,,10,N1   ,Transient-Noncommunity Water System,6/14/2015,MAMMOTH LAKES,,#N/A,D1   ,Distribution Operator Level 1
4861,CA5410519,NPS-DORST CG,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,SW ,Surface Water,,,900,900,,50,,,,50,N1   ,Transient-Noncommunity Water System,6/10/2015,THREE RIVERS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4862,CA1010501,NPS-GRANT GROVE,FRESNO,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,20,30,2900,2950,,,,25,75,100,SC   ,Small Community,5/13/2015,THREE RIVERS,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4863,CA5410511,NPS-HOSPITAL ROCK,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,232,232,,2,,,,2,N1   ,Transient-Noncommunity Water System,6/10/2015,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
4864,CA5410520,NPS-PINEWOOD WATER SYSTEM,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,2900,2900,,13,,,,13,N1   ,Transient-Noncommunity Water System,10/17/2013,,,#N/A,D1   ,Distribution Operator Level 1
4865,CA5410512,NPS-POTWISHA,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,210,210,,6,,,,6,N1   ,Transient-Noncommunity Water System,8/25/2016,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
4866,CA1010500,NPS-SHEEP CREEK,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,SW ,Surface Water,,,2900,2900,,76,,,,76,N1   ,Transient-Noncommunity Water System,5/13/2015,THREE RIVERS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
4867,CA5410503,NPS-WOLVERTON,TULARE,C,Community,C   ,Community,A,ACTIVE,F,Federal Government,SW ,Surface Water,40,,,40,,131,,,,131,SC   ,Small Community,6/10/2015,THREE RIVERS,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
4868,CA3601127,NRG ENERGY COOLWATER,SAN BERNARDINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,6/20/2017,DAGGETT,,#N/A,,#N/A
4869,CA3601124,NRG ETIWANDA GENERATING STATION,SAN BERNARDINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/21/2017,RANCHO CUCAMONGA,,#N/A,,#N/A
4870,CA5403053,NS MINI MART,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,140,140,,2,,,,2,N1   ,Transient-Noncommunity Water System,10/18/2016,PORTERVILLE,,#N/A,NR   ,Not Required
4871,CA5100142,NUESTRO SCHOOL,SUTTER,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,120,,120,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,10/4/2016,LIVE OAK,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
4872,CA3310026,NUEVO WATER COMPANY,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,6473,,,6473,,1803,,,,1803,C1   ,Large Water System,3/20/2018,NUEVO,T2   ,Treatment Operator Level 2,D3   ,Distribution Operator Level 3
4873,CA0900204,NUGGET CAMPGROUND,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,1000,1000,,6,,,,6,,#N/A,9/20/2013,LOTUS,,#N/A,NR   ,Not Required
4874,CA4000505,NUNES WATER COMPANY,SAN LUIS OBISPO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,12,,,,12,SC   ,Small Community,3/11/2005,ARROYO GRANDE,,#N/A,,#N/A
